arm,n_records,strict_accuracy,n_strict_accuracy,canonical_accuracy,n_canonical_accuracy,coverage,hallucination_rate,n_emitted,precision,n_precision,recall,n_recall,f1,anls,n_anls,absent_abstain_rate,n_absent,present_emit_rate,strict_accuracy_needs_norm,n_needs_norm,canonical_accuracy_needs_norm,strict_accuracy_verbatim,n_verbatim,mean_verify_iters,grounding_exact,n_grounding_exact,grounding_iou,n_grounding_iou,grounding_token_iou,n_grounding_token_iou,provenance_claim_rate,n_claimable,ece,ace,mce,brier,nll,aurc,error_auroc,mean_confidence,n_calibration,verify_iters_per_doc,verify_reselections_per_doc,verify_arith_checked_frac,verify_arith_ok_frac,eval_seconds,seed,family,source,note,heuristic_variant,train_seconds,n_params,llm_tokens_per_doc
llm_stub,3200.0,0.756875,3200.0,0.756875,3200.0,0.744375,0.0,2382.0,0.8967254408060453,2382.0,0.733013040494166,2914.0,0.8066465256797583,0.7483810968908268,2914.0,1.0,286.0,0.817433081674674,0.7616822429906542,214.0,0.7616822429906542,0.7307407407407407,2700.0,0.0,,0.0,,0.0,,0.0,0.0,2914.0,,,,,,,,,0.0,0.0,0.0,0.0,,1.0947278999956325,1,baseline,llm,"offline deterministic stub; token-cost arm, not a real provider",,,,1098.035
llm_stub,3200.0,0.75875,3200.0,0.75875,3200.0,0.7596875,0.0,2431.0,0.8835870012340601,2431.0,0.7356164383561644,2920.0,0.8028405905438237,0.7545752193571493,2920.0,1.0,280.0,0.8325342465753425,0.7395348837209302,215.0,0.7395348837209302,0.7353049907578558,2705.0,0.0,,0.0,,0.0,,0.0,0.0,2920.0,,,,,,,,,0.0,0.0,0.0,0.0,,0.5226096999831498,2,baseline,llm,"offline deterministic stub; token-cost arm, not a real provider",,,,1093.4
span_only,3200.0,0.8759375,3200.0,0.939375,3200.0,0.91625,0.0,2932.0,0.9406548431105048,2932.0,0.9556479556479556,2886.0,0.9480921278789962,0.890198630583246,2886.0,0.7898089171974523,314.0,0.9930699930699932,0.0,211.0,0.957345971563981,0.955140186915888,2675.0,0.0,0.9623168178646196,2866.0,0.9651088380116568,2866.0,0.967597115608281,2866.0,0.9930699930699932,2886.0,0.0240059824861168,0.0254215688214702,0.0999133119068178,0.0445521348959059,0.1550894276927693,0.0085346775613674,0.9054183024513848,0.9173891596130184,2932.0,0.0,0.0,0.0,,0.8742038999916986,0,ablation,span,"selection, verification disabled",,217.906282299984,108892.0,
span_only,3200.0,0.8765625,3200.0,0.939375,3200.0,0.9259375,0.0,2963.0,0.9426257171785352,2963.0,0.9584763212079616,2914.0,0.95048494129658,0.8924424675454188,2914.0,0.7447552447552448,286.0,0.991763898421414,0.0,214.0,0.9392523364485982,0.96,2700.0,0.0,0.9664359861591696,2890.0,0.9690138031052682,2890.0,0.9721164936562862,2890.0,0.991763898421414,2914.0,0.031442753877585,0.0321130490447877,0.1574366112750789,0.0473471732019743,0.1646236751638634,0.0092840394729158,0.8889745371832943,0.9112388140802,2963.0,0.0,0.0,0.0,,1.7793941000127234,1,ablation,span,"selection, verification disabled",,129.47099889995297,108892.0,
span_only,3200.0,0.8928125,3200.0,0.954375,3200.0,0.9225,0.0,2952.0,0.9556233062330624,2952.0,0.9660958904109589,2920.0,0.9608310626702997,0.9017808219178083,2920.0,0.8321428571428572,280.0,0.9948630136986302,0.0,215.0,0.9116279069767442,0.9700554528650647,2705.0,0.0,0.9710843373493976,2905.0,0.974981916478526,2905.0,0.9780321285140563,2905.0,0.9948630136986302,2920.0,0.03834665756480801,0.0389477222309849,0.2066097930073738,0.041558330823347804,0.14160842207272212,0.00580624363380038,0.9032772201942357,0.917670718558274,2952.0,0.0,0.0,0.0,,0.9411963999737054,2,ablation,span,"selection, verification disabled",,277.6927272999892,108892.0,
span_verify,3200.0,0.8825,3200.0,0.94875,3200.0,0.8640625,0.0,2765.0,0.9877034358047015,2765.0,0.9462924462924462,2886.0,0.9665545921075916,0.8763993283224052,2886.0,0.9713375796178344,314.0,0.954954954954955,0.0,211.0,0.995260663507109,0.9416822429906542,2675.0,0.0709375,0.9909288824383164,2756.0,0.9910627147334182,2756.0,0.9909288824383164,2756.0,0.954954954954955,2886.0,0.069291525222799,0.0692915252227989,0.4337847918752809,0.036183094858812,0.1261957675356942,0.0013772900974372,0.9057552717168889,0.9184119105819026,2765.0,0.625,0.5125,0.865,0.8526011560693642,0.8479968000319786,0,ours,span,selection plus the bounded verification loop,,217.906282299984,108892.0,
span_verify,3200.0,0.8846875,3200.0,0.9490625,3200.0,0.8759375,0.0,2803.0,0.987513378523011,2803.0,0.9498970487302676,2914.0,0.9683400384817212,0.8814878364981317,2914.0,0.9405594405594404,286.0,0.9560741249142072,0.0,214.0,0.9626168224299064,0.9488888888888888,2700.0,0.0703125,0.9935391241923904,2786.0,0.993590183590563,2786.0,0.9935391241923904,2786.0,0.9560741249142072,2914.0,0.072977567102881,0.072977567102881,0.4408814298830846,0.0371166959091266,0.1298401494743136,0.0023113013961494,0.8511560693641619,0.91453581142013,2803.0,0.6075,0.49,0.925,0.8702702702702703,1.636695499997586,1,ours,span,selection plus the bounded verification loop,,129.47099889995297,108892.0,
span_verify,3200.0,0.8990625,3200.0,0.9659375,3200.0,0.8915625,0.0,2853.0,0.9894847528916929,2853.0,0.9667808219178082,2920.0,0.9780010393209769,0.8975564922140266,2920.0,0.9571428571428572,280.0,0.9729452054794521,0.0,215.0,0.9813953488372092,0.9645101663585952,2705.0,0.0525,0.9936642027455121,2841.0,0.9938029673935358,2841.0,0.9936642027455121,2841.0,0.9729452054794521,2920.0,0.07558519603952868,0.07558519603952872,0.48369715878596675,0.03887311143286192,0.13511330375584513,0.0017739565618467704,0.8593930806470658,0.9138995568521642,2853.0,0.45,0.3925,0.8675,0.9106628242074928,1.2664856999763288,2,ours,span,selection plus the bounded verification loop,,277.6927272999892,108892.0,
span_verify_norm,3200.0,0.948125,3200.0,0.94875,3200.0,0.8640625,0.0,2765.0,0.9877034358047015,2765.0,0.9462924462924462,2886.0,0.9665545921075916,0.9507236526467296,2886.0,0.9713375796178344,314.0,0.954954954954955,0.995260663507109,211.0,0.995260663507109,0.9416822429906542,2675.0,0.0709375,0.9909288824383164,2756.0,0.9910627147334182,2756.0,0.9909288824383164,2756.0,0.954954954954955,2886.0,0.069291525222799,0.0692915252227989,0.4337847918752809,0.036183094858812,0.1261957675356942,0.0013772900974372,0.9057552717168889,0.9184119105819026,2765.0,0.625,0.5125,0.865,0.8526011560693642,0.8528780000051484,0,ours,span,plus deterministic date normalisation (weakens the substring guarantee),,217.906282299984,108892.0,
span_verify_norm,3200.0,0.9490625,3200.0,0.9490625,3200.0,0.8759375,0.0,2803.0,0.987513378523011,2803.0,0.9498970487302676,2914.0,0.9683400384817212,0.9529360176923662,2914.0,0.9405594405594404,286.0,0.9560741249142072,0.9626168224299064,214.0,0.9626168224299064,0.9488888888888888,2700.0,0.0703125,0.9935391241923904,2786.0,0.993590183590563,2786.0,0.9935391241923904,2786.0,0.9560741249142072,2914.0,0.072977567102881,0.072977567102881,0.4408814298830846,0.0371166959091266,0.1298401494743136,0.0023113013961494,0.8511560693641619,0.91453581142013,2803.0,0.6075,0.49,0.925,0.8702702702702703,2.0815710999886505,1,ours,span,plus deterministic date normalisation (weakens the substring guarantee),,129.47099889995297,108892.0,
span_verify_norm,3200.0,0.965,3200.0,0.9659375,3200.0,0.8915625,0.0,2853.0,0.9894847528916929,2853.0,0.9667808219178082,2920.0,0.9780010393209769,0.970604437419506,2920.0,0.9571428571428572,280.0,0.9729452054794521,0.9813953488372092,215.0,0.9813953488372092,0.9645101663585952,2705.0,0.0525,0.9936642027455121,2841.0,0.9938029673935358,2841.0,0.9936642027455121,2841.0,0.9729452054794521,2920.0,0.07558519603952868,0.07558519603952872,0.48369715878596675,0.03887311143286192,0.13511330375584513,0.0017739565618467704,0.8593930806470658,0.9138995568521642,2853.0,0.45,0.3925,0.8675,0.9106628242074928,1.015260300016962,2,ours,span,plus deterministic date normalisation (weakens the substring guarantee),,277.6927272999892,108892.0,
