arm,n_records,strict_accuracy,n_strict_accuracy,canonical_accuracy,n_canonical_accuracy,coverage,hallucination_rate,n_emitted,precision,n_precision,recall,n_recall,f1,anls,n_anls,absent_abstain_rate,n_absent,present_emit_rate,strict_accuracy_needs_norm,n_needs_norm,canonical_accuracy_needs_norm,strict_accuracy_verbatim,n_verbatim,mean_verify_iters,grounding_exact,n_grounding_exact,grounding_iou,n_grounding_iou,grounding_token_iou,n_grounding_token_iou,provenance_claim_rate,n_claimable,ece,ace,mce,brier,nll,aurc,error_auroc,mean_confidence,n_calibration,verify_iters_per_doc,verify_reselections_per_doc,verify_arith_checked_frac,verify_arith_ok_frac,eval_seconds,seed,ablation,kind,switch,train_seconds,n_params,wall_seconds
verify:conf_threshold_0.5,3200.0,0.859375,3200.0,0.92125,3200.0,0.851875,0.0,2726.0,0.9856933235509904,2726.0,0.9221002059025396,2914.0,0.9528368794326242,0.8561502384597786,2914.0,0.9125874125874126,286.0,0.926904598490048,0.0,214.0,0.9252336448598132,0.9218518518518518,2700.0,0.0475,0.994816734542762,2701.0,0.9949309223810994,2701.0,0.994816734542762,2701.0,0.926904598490048,2914.0,0.0490454552081561,0.0490926178315721,0.2917993068422153,0.0247540948285018,0.1014701892314687,0.0032828649986119,0.8219060433425897,0.9366478683428344,2726.0,0.4125,0.3075,0.7125,0.912280701754386,1.2197777000255885,1,conf_threshold_0.5,inference,min_confidence=0.5,230.0071359000285,,
verify:conf_threshold_0.5,3200.0,0.8728125,3200.0,0.9334375,3200.0,0.8584375,0.0,2747.0,0.9905351292318894,2747.0,0.9318493150684932,2920.0,0.9602964531498148,0.8684512937595129,2920.0,0.95,280.0,0.935958904109589,0.0,215.0,0.8930232558139535,0.934195933456562,2705.0,0.038125,0.995609220636663,2733.0,0.995673400864035,2733.0,0.995609220636663,2733.0,0.935958904109589,2920.0,0.0501515346698423,0.0501515346698423,0.3245379841979593,0.0228017000416354,0.0926957900101656,0.0018712481124248,0.8338987363243151,0.940383594562047,2747.0,0.3225,0.2775,0.685,0.937956204379562,3.580682399973739,2,conf_threshold_0.5,inference,min_confidence=0.5,377.4588737000013,,
verify:full,3200.0,0.8825,3200.0,0.94875,3200.0,0.8640625,0.0,2765.0,0.9877034358047015,2765.0,0.9462924462924462,2886.0,0.9665545921075916,0.8763993283224052,2886.0,0.9713375796178344,314.0,0.954954954954955,0.0,211.0,0.995260663507109,0.9416822429906542,2675.0,0.0709375,0.9909288824383164,2756.0,0.9910627147334182,2756.0,0.9909288824383164,2756.0,0.954954954954955,2886.0,0.0692915455540087,0.0692915455540086,0.4337848594726571,0.0361831036001443,0.1261957935175114,0.0013772900974372,0.9057552717168889,0.918411890250693,2765.0,0.625,0.5125,0.865,0.8526011560693642,8.055181200033985,0,full,inference,none,195.82942889997503,,
verify:full,3200.0,0.8846875,3200.0,0.9490625,3200.0,0.8759375,0.0,2803.0,0.987513378523011,2803.0,0.9498970487302676,2914.0,0.9683400384817212,0.8814878364981317,2914.0,0.9405594405594404,286.0,0.9560741249142072,0.0,214.0,0.9626168224299064,0.9488888888888888,2700.0,0.0703125,0.9935391241923904,2786.0,0.993590183590563,2786.0,0.9935391241923904,2786.0,0.9560741249142072,2914.0,0.0729775689847971,0.0729775689847972,0.4408814026261564,0.0371166911033625,0.1298401388930921,0.0023113013961494,0.8511560693641619,0.914535809538214,2803.0,0.6075,0.49,0.925,0.8702702702702703,10.1314335000352,1,full,inference,none,230.0071359000285,,
verify:full,3200.0,0.8990625,3200.0,0.9659375,3200.0,0.8915625,0.0,2853.0,0.9894847528916928,2853.0,0.9667808219178082,2920.0,0.9780010393209768,0.8975564922140266,2920.0,0.9571428571428572,280.0,0.972945205479452,0.0,215.0,0.9813953488372092,0.9645101663585952,2705.0,0.0525,0.993664202745512,2841.0,0.9938029673935358,2841.0,0.993664202745512,2841.0,0.972945205479452,2920.0,0.075585184251345,0.0755851842513451,0.4836971408116039,0.0388731074363936,0.1351132923043126,0.0017739565618467,0.8593930806470658,0.9138995686403478,2853.0,0.45,0.3925,0.8675,0.9106628242074928,17.63257750001503,2,full,inference,none,377.4588737000013,,
verify:no_abstain,3200.0,0.878125,3200.0,0.9534375,3200.0,0.91625,0.0,2932.0,0.9560027285129604,2932.0,0.9712404712404712,2886.0,0.9635613612925404,0.900752998829922,2886.0,0.7898089171974523,314.0,0.9930699930699932,0.0,211.0,0.995260663507109,0.9577570093457944,2675.0,0.0709375,0.9780181437543616,2866.0,0.97821716679782,2866.0,0.9780181437543616,2866.0,0.9930699930699932,2886.0,0.0661645691744974,0.0682375644413402,0.4305641723122128,0.0572463348011298,0.2226683553989399,0.0068896629656776,0.8913871350463374,0.889838159338463,2932.0,0.625,0.5125,0.865,0.8526011560693642,1.662378000037279,0,no_abstain,inference,abstain=False,195.82942889997503,,
verify:no_abstain,3200.0,0.8821875,3200.0,0.9525,3200.0,0.9259375,0.0,2963.0,0.95680053999325,2963.0,0.9728894989704872,2914.0,0.9647779479326186,0.904973804888012,2914.0,0.7447552447552448,286.0,0.991763898421414,0.0,214.0,0.9626168224299064,0.9666666666666668,2700.0,0.0703125,0.980968858131488,2890.0,0.9811235880088404,2890.0,0.980968858131488,2890.0,0.991763898421414,2914.0,0.0704356698764106,0.0708289914122659,0.4201257446200999,0.0561246407620741,0.2039848168261075,0.0069782272749554,0.8862819664902998,0.8863648701168394,2963.0,0.6075,0.49,0.925,0.8702702702702703,1.234886999998707,1,no_abstain,inference,abstain=False,230.0071359000285,,
verify:no_abstain,3200.0,0.896875,3200.0,0.970625,3200.0,0.9225,0.0,2952.0,0.9732384823848238,2952.0,0.9839041095890412,2920.0,0.978542234332425,0.9135936152888208,2920.0,0.8321428571428572,280.0,0.9948630136986302,0.0,215.0,0.9813953488372092,0.9748613678373382,2705.0,0.0525,0.9889845094664372,2905.0,0.9892535969140434,2905.0,0.989156626506024,2905.0,0.9948630136986302,2920.0,0.0777255062211469,0.0777255062211469,0.4902497933983525,0.0526360758379648,0.2046949726258258,0.0039013776784981,0.8864636709301352,0.895512976163677,2952.0,0.45,0.3925,0.8675,0.9106628242074928,2.69034939998528,2,no_abstain,inference,abstain=False,377.4588737000013,,
verify:no_arithmetic,3200.0,0.891875,3200.0,0.9578125,3200.0,0.911875,0.0,2918.0,0.9619602467443454,2918.0,0.9726264726264726,2886.0,0.967263955892488,0.9052154225231148,2886.0,0.821656050955414,314.0,0.9916839916839916,0.0,211.0,0.995260663507109,0.970467289719626,2675.0,0.0275,0.9807826694619148,2862.0,0.9809716989091396,2862.0,0.9807826694619148,2862.0,0.9916839916839916,2886.0,0.0492156946326582,0.0497686554605334,0.3030099573797125,0.0436679835528445,0.1501729271413722,0.0058939025568042,0.8858612798762425,0.9127445521116871,2918.0,0.22,0.165,0.0,,1.0861426999908872,0,no_arithmetic,inference,arithmetic=False,195.82942889997503,,
verify:no_arithmetic,3200.0,0.8934375,3200.0,0.9578125,3200.0,0.9209375,0.0,2947.0,0.9630132337970818,2947.0,0.9739190116678106,2914.0,0.9684354205766932,0.9079036364382966,2914.0,0.7937062937062938,286.0,0.9910775566231984,0.0,214.0,0.9626168224299064,0.9748148148148148,2700.0,0.0296875,0.9826869806094184,2888.0,0.9829151445150608,2888.0,0.9826869806094184,2888.0,0.9910775566231984,2914.0,0.0568004951897337,0.0568004951897337,0.3438168153419333,0.0464266122983179,0.1601362636135132,0.0067701447613311,0.863471497565801,0.906212738607348,2947.0,0.2375,0.165,0.0,,1.2998631999944337,1,no_arithmetic,inference,arithmetic=False,230.0071359000285,,
